N,MFlops
26,5992.27
38,6513.48
58,7700.22
86,8015.89
130,8255.89
195,8215.17
292,8585.75
438,8605.61
657,8175.52
985,6395.35
1478,8462.13
2217,3425.15
3325,3273.75
4988,3534.15
7482,4632.72
11223,4495.02
16834,3283.49
25251,3283.9
37877,2657.17
56815,1968.93
85223,1720.85
127834,1766.99
191751,1766.38
287627,1766.7
431440,1752.82
647160,1533.11
970740,1218.99
1456110,1144.56
2184164,1075.48
3276247,1001.75
4914370,962.923
7371555,956.664
11057332,957.338
16585998,956.212
24878998,964.781
37318497,697.265
55977745,747.441
